,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
80,20.93,20.93,18.700001,18.700001,3200300,18.700001,54.01,2/7/2019,CRC,-0.119170937,-0.119170937,-1.644497383,D
81,18.709999,18.799999,16.860001,17.610001,3352600,17.610001,52.64,2/8/2019,CRC,-0.058288767,-0.058288767,1.192470654,U
82,17.24,17.969999,16.5,17.809999,2659300,17.809999,52.72,2/11/2019,CRC,0.011357069,0.011357069,3.094085267,U
83,18.58,19.49,18.16,18.25,2125500,18.25,52.41,2/12/2019,CRC,0.024705279,0.024705279,3.346560174,U
84,18.360001,19.548,18.360001,19.530001,3596300,19.530001,53.1,2/13/2019,CRC,0.070137041,0.070137041,3.217900908,U
85,19.200001,20.389999,19.111,20.190001,2192000,20.190001,53.9,2/14/2019,CRC,0.033794161,0.033794161,2.397473186,U
86,20.530001,21.68,20.52,21.5,2825700,21.5,54.486,2/15/2019,CRC,0.064883553,0.064883553,1.039914376,U
87,21.309999,22.200001,21.25,21.709999,2010600,21.709999,55.746,2/19/2019,CRC,0.009767395,0.009767395,-0.106821306,D
88,21.690001,22.4,21.67,22.18,1639100,22.18,56.306,2/20/2019,CRC,0.021649057,0.021649057,-0.701863006,D
89,22,22.202,21.110001,21.639999,1931100,21.639999,57.112,2/21/2019,CRC,-0.024346303,-0.024346303,0.138271628,U
90,22.24,22.360001,21.450001,21.719999,1208300,21.719999,56.96,2/22/2019,CRC,0.003696858,0.003696858,-0.695301309,D
91,21.25,22.25,21.150999,21.73,2016600,21.73,57.26,2/25/2019,CRC,0.000460451,0.000460451,0.138846035,U
92,21.639999,22.200001,21.200001,21.27,1138200,21.27,55.48,2/26/2019,CRC,-0.021168891,-0.021168891,3.566077315,U
93,21.58,22.450001,20.959999,21.82,2703900,21.82,55.5,2/27/2019,CRC,0.025858016,0.025858016,2.774165583,U
94,24.870001,26.450001,23.049999,23.65,6614700,23.65,56.94,2/28/2019,CRC,0.083868011,0.083868011,0.196685864,U
95,23.879999,24.18,23.306,23.74,1934900,23.74,57.22,3/1/2019,CRC,0.003805497,0.003805497,-1.524216503,D
96,24.059999,24.68,23.219999,23.790001,1916100,23.790001,55.8,3/4/2019,CRC,0.002106192,0.002106192,-3.339218839,D
97,23.780001,23.862,22.5,22.67,1814500,22.67,56.59,3/5/2019,CRC,-0.047078645,-0.047078645,-2.076337436,D
98,22.299999,22.4,21.385,21.52,2242300,21.52,56.56,3/6/2019,CRC,-0.050727834,-0.050727834,-3.207698528,D
99,21.700001,21.879999,21.02,21.309999,1646200,21.309999,56.22,3/7/2019,CRC,-0.009758411,-0.009758411,-0.080526656,D
100,20.280001,20.309999,19.125,19.52,2856500,19.52,56.66,3/8/2019,CRC,-0.08399808,-0.08399808,4.784460837,U
101,19.870001,21.370001,19.76,21.26,2259600,21.26,56.07,3/11/2019,CRC,0.089139344,0.089139344,3.984062387,U
102,21.530001,22.639999,21.5,22.549999,2690100,22.549999,56.79,3/12/2019,CRC,0.060677281,0.060677281,2.000851511,U
103,23.1,24.09,23.040001,23.959999,2723000,23.959999,56.87,3/13/2019,CRC,0.062527719,0.062527719,0,N
104,23.469999,24.57,23.26,23.959999,2406400,23.959999,58.26,3/14/2019,CRC,0,0,1.493764622,U
105,23.6,24.370001,23.295,23.959999,1992000,23.959999,58.61,3/15/2019,CRC,0,0,1.657684658,U
106,24.15,25.120001,23.974001,25.049999,1672200,25.049999,58.58,3/18/2019,CRC,0.045492489,0.045492489,2.58765691,U
107,25.469999,25.950001,24.870001,25.190001,2016400,25.190001,59.206,3/19/2019,CRC,0.005588902,0.005588902,2.982081193,U
108,25.24,27.65,25.030001,27.049999,3135500,27.049999,59.186,3/20/2019,CRC,0.073838743,0.073838743,-1.794837343,D
109,27,27.84,26.75,27.57,1858500,27.57,60.15,3/21/2019,CRC,0.019223698,0.019223698,-3.965494992,D
110,26.809999,26.870001,24.700001,25.610001,3252000,25.610001,59.98,3/22/2019,CRC,-0.07109173,-0.07109173,0.263467264,U
111,25.27,25.469999,23.639999,24.49,2994700,24.49,59.04,3/25/2019,CRC,-0.043732954,-0.043732954,1.123744066,U
